[27, 1430][0, 0, 0]
[28, 1430][0, 0, 0]
[29, 1430][0, 0, 0]
[30, 1430][0, 0, 0]
[31, 1430][0, 0, 0]
[3070, 571][0, 0, 0]
[3071, 571][0, 0, 0]
[3072, 571][0, 0, 0]
[3073, 571][0, 0, 0]
[3074, 571][0, 0, 0]
[3075, 571][0, 0, 0]
[3076, 571][0, 0, 0]
[3077, 571][0, 0, 0]
[3078, 571][0, 0, 0]
[3079, 571][0, 0, 0]
[3080, 571][0, 0, 0]
[3081, 571][0, 0, 0]
[3082, 571][0, 0, 0]
[3083, 571][0, 0, 0]
[3084, 571][0, 0, 0]
[3085, 571][0, 0, 0]
[3086, 571][0, 0, 0]
[3087, 571][0, 0, 0]
[3088, 571][0, 0, 0]
[3089, 571][0, 0, 0]
[3090, 571][0, 0, 0]
[3091, 571][0, 0, 0]
[3092, 571][0, 0, 0]
[3093, 571][0, 0, 0]
[3094, 571][0, 0, 0]
[3095, 571][0, 0, 0]
[3096, 571][0, 0, 0]
[3097, 571][0, 0, 0]
[3098, 571][0, 0, 0]
[3099, 571][0, 0, 0]
[3070, 572][0, 0, 0]
[3071, 572][0, 0, 0]
[3072, 572][0, 0, 0]
[3073, 572][0, 0, 0]
[3074, 572][0, 0, 0]
[3075, 572][0, 0, 0]
[3076, 572][0, 0, 0]
[3077, 572][0, 0, 0]
[3078, 572][0, 0, 0]
[3079, 572][0, 0, 0]
[3080, 572][0, 0, 0]
[3081, 572][0, 0, 0]
[3082, 572][0, 0, 0]
[3083, 572][0, 0, 0]
[3084, 572][0, 0, 0]
[3085, 572][0, 0, 0]
[3086, 572][0, 0, 0]
[3087, 572][0, 0, 0]
[3088, 572][0, 0, 0]
[3089, 572][0, 0, 0]
[3090, 572][0, 0, 0]
[3091, 572][0, 0, 0]
[3092, 572][0, 0, 0]
[3093, 572][0, 0, 0]
[3094, 572][0, 0, 0]
[3095, 572][0, 0, 0]
[3096, 572][0, 0, 0]
[3097, 572][0, 0, 0]
[3098, 572][0, 0, 0]
[3099, 572][0, 0, 0]
[3070, 1143][0, 0, 0]
[3071, 1143][0, 0, 0]
[3072, 1143][0, 0, 0]
[3073, 1143][0, 0, 0]
[3074, 1143][0, 0, 0]
[3075, 1143][0, 0, 0]
[3076, 1143][0, 0, 0]
[3077, 1143][0, 0, 0]
[3078, 1143][0, 0, 0]
[3079, 1143][0, 0, 0]
[3080, 1143][0, 0, 0]
[3081, 1143][0, 0, 0]
[3082, 1143][0, 0, 0]
[3083, 1143][0, 0, 0]
[3084, 1143][0, 0, 0]
[3085, 1143][0, 0, 0]
[3086, 1143][0, 0, 0]
[3087, 1143][0, 0, 0]
[3088, 1143][0, 0, 0]
[3089, 1143][0, 0, 0]
[3090, 1143][0, 0, 0]
[3091, 1143][0, 0, 0]
[3092, 1143][0, 0, 0]
[3093, 1143][0, 0, 0]
[3094, 1143][0, 0, 0]
[3095, 1143][0, 0, 0]
[3096, 1143][0, 0, 0]
[3097, 1143][0, 0, 0]
[3098, 1143][0, 0, 0]
[3099, 1143][0, 0, 0]
[3070, 1144][0, 0, 0]
[3071, 1144][0, 0, 0]
[3072, 1144][0, 0, 0]
[3073, 1144][0, 0, 0]
[3074, 1144][0, 0, 0]
[3075, 1144][0, 0, 0]
[3076, 1144][0, 0, 0]
[3077, 1144][0, 0, 0]
[3078, 1144][0, 0, 0]
[3079, 1144][0, 0, 0]
[3080, 1144][0, 0, 0]
[3081, 1144][0, 0, 0]
[3082, 1144][0, 0, 0]
[3083, 1144][0, 0, 0]
[3084, 1144][0, 0, 0]
[3085, 1144][0, 0, 0]
[3086, 1144][0, 0, 0]
[3087, 1144][0, 0, 0]
[3088, 1144][0, 0, 0]
[3089, 1144][0, 0, 0]
[3090, 1144][0, 0, 0]
[3091, 1144][0, 0, 0]
[3092, 1144][0, 0, 0]
[3093, 1144][0, 0, 0]
[3094, 1144][0, 0, 0]
[3095, 1144][0, 0, 0]
[3096, 1144][0, 0, 0]
[3097, 1144][0, 0, 0]
[3098, 1144][0, 0, 0]
[3099, 1144][0, 0, 0]
[3070, 285][0, 0, 0]
[3071, 285][0, 0, 0]
[3072, 285][0, 0, 0]
[3073, 285][0, 0, 0]
[3074, 285][0, 0, 0]
[3075, 285][0, 0, 0]
[3076, 285][0, 0, 0]
[3077, 285][0, 0, 0]
[3078, 285][0, 0, 0]
[3079, 285][0, 0, 0]
[3080, 285][0, 0, 0]
[3081, 285][0, 0, 0]
[3082, 285][0, 0, 0]
[3083, 285][0, 0, 0]
[3084, 285][0, 0, 0]
[3085, 285][0, 0, 0]
[3086, 285][0, 0, 0]
